name,email,age,country,university,department,degree
Monica Shah,MonicaShah5840@gmail.com,21,Spain,University of Texas - Austin,CE,BS
Binny Greene,BinnyGreene4842@gmail.com,23,Germany,University of Wisconsin - Madison,Data Science,BS
Melissa Chen,MelissaChen9601@gmail.com,26,France,University of California - San Diego,ECE,MS
Monica Shah,MonicaShah6525@gmail.com,25,Spain,University of Texas - Austin,CE,MS
Joe Shah,JoeShah8178@gmail.com,21,USA,University of Michigan,Bioinformatics,BS
Oliver Smith,OliverSmith9459@gmail.com,28,China,University of California - Santa Barbara,Bioinformatics,BS
Joe Greene,JoeGreene6287@gmail.com,27,Spain,University of California - Santa Cruz,CE,BS
Stuart Singh,StuartSingh2474@gmail.com,23,Mexico,University of Wisconsin - Madison,Maths,MS
Joe Smith,JoeSmith7581@gmail.com,26,China,University of California - Santa Barbara,CE,PhD
Stuart Smith,StuartSmith5842@gmail.com,22,Spain,University of Michigan,Data Science,BS
John Chan,JohnChan7039@gmail.com,27,Mexico,University of Texas - Austin,CE,PhD
Binny Lee,BinnyLee39@gmail.com,24,Spain,University of California - Santa Cruz,Bioinformatics,PhD
Stuart Chen,StuartChen3333@gmail.com,26,Spain,University of Wisconsin - Madison,Maths,MS
John Lee,JohnLee3877@gmail.com,27,France,University of California - San Diego,ECE,BS
Binny Smith,BinnySmith101@gmail.com,26,Italy,University of Wisconsin - Madison,CE,BS
Monica Singh,MonicaSingh2484@gmail.com,23,India,University of Texas - Austin,Data Science,PhD
Binny Singh,BinnySingh5257@gmail.com,27,Japan,University of California - Los Angeles,Data Science,PhD
Joe Chan,JoeChan3208@gmail.com,24,USA,University of California - Los Angeles,CSE,PhD
Rachel Lee,RachelLee5571@gmail.com,26,Spain,University of California - Santa Barbara,Maths,PhD
Sri Chen,SriChen2899@gmail.com,22,France,University of California - Santa Barbara,ECE,BS
Stuart Shah,StuartShah2782@gmail.com,26,USA,University of  Washington,Maths,MS
Monica Shah,MonicaShah7151@gmail.com,23,Italy,University of California - Santa Barbara,ECE,MS
Sri Lee,SriLee7835@gmail.com,23,China,University of Texas - Austin,Data Science,BS
Monica Watson,MonicaWatson46@gmail.com,28,Germany,University of Texas - Austin,CE,PhD
Monica Singh,MonicaSingh7696@gmail.com,24,China,University of California - Santa Cruz,CE,BS
Rachel Shah,RachelShah5765@gmail.com,26,Spain,University of California - Santa Barbara,Bioinformatics,PhD
Melissa Greene,MelissaGreene5320@gmail.com,20,Greece,University of Wisconsin - Madison,CSE,MS
Oliver Wang,OliverWang5127@gmail.com,28,USA,University of Wisconsin - Madison,Maths,BS
Sri Chan,SriChan5093@gmail.com,25,Greece,University of Texas - Austin,Data Science,MS
Melissa Chen,MelissaChen9936@gmail.com,27,Spain,University of California - Los Angeles,ECE,BS
Binny Greene,BinnyGreene9767@gmail.com,22,China,University of  Washington,CE,PhD
Joe Greene,JoeGreene1986@gmail.com,25,France,University of Pennsylvania,Bioinformatics,MS
Monica Chen,MonicaChen4120@gmail.com,27,Italy,University of California - San Diego,CSE,PhD
Stuart Chen,StuartChen1205@gmail.com,23,Mexico,University of Pennsylvania,CE,MS
Monica Wang,MonicaWang6966@gmail.com,28,Spain,University of California - Santa Barbara,Data Science,MS
Rachel Chen,RachelChen4861@gmail.com,20,China,University of California - Santa Barbara,CSE,PhD
Joe Greene,JoeGreene8677@gmail.com,27,Spain,University of California - San Diego,Bioinformatics,PhD
John Shah,JohnShah2744@gmail.com,25,China,University of Michigan,Maths,BS
Melissa Wang,MelissaWang525@gmail.com,20,Mexico,University of California - San Diego,Bioinformatics,BS
Stuart Greene,StuartGreene533@gmail.com,26,Mexico,University of California - San Diego,Data Science,MS
John Singh,JohnSingh9326@gmail.com,25,Germany,University of California - Santa Cruz,ECE,PhD
